,Acne and Rosacea Photos,Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,Atopic Dermatitis Photos,Bullous Disease Photos,Cellulitis Impetigo and other Bacterial Infections,Eczema Photos,Exanthems and Drug Eruptions,Hair Loss Photos Alopecia and other Hair Diseases,Herpes HPV and other STDs Photos,Light Diseases and Disorders of Pigmentation,Lupus and other Connective Tissue diseases,Melanoma Skin Cancer Nevi and Moles,Nail Fungus and other Nail Disease,Poison Ivy Photos and other Contact Dermatitis,Psoriasis pictures Lichen Planus and related diseases,Scabies Lyme Disease and other Infestations and Bites,Seborrheic Keratoses and other Benign Tumors,Systemic Disease,Tinea Ringworm Candidiasis and other Fungal Infections,Urticaria Hives,Vascular Tumors,Vasculitis Photos,Warts Molluscum and other Viral Infections
Acne and Rosacea Photos,287,1,7,1,15,0,6,5,2,4,11,4,0,3,1,2,1,19,2,0,0,0,5
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,30,443,19,2,11,0,9,4,7,2,16,121,0,2,12,1,6,49,0,0,4,1,1
Atopic Dermatitis Photos,29,6,66,0,13,3,37,7,5,0,15,7,0,7,26,3,0,22,3,0,3,2,4
Bullous Disease Photos,5,1,2,3,9,0,5,3,2,1,0,4,0,3,3,2,0,34,0,0,0,1,0
Cellulitis Impetigo and other Bacterial Infections,11,5,3,1,60,0,9,7,10,2,13,3,0,3,3,3,0,23,1,1,1,4,4
Eczema Photos,6,0,20,0,10,0,11,1,6,3,6,0,0,29,2,2,1,12,0,0,1,0,10
Exanthems and Drug Eruptions,7,2,5,1,8,0,57,1,1,6,12,6,0,11,6,2,0,14,0,6,0,2,3
Hair Loss Photos Alopecia and other Hair Diseases,2,0,3,0,1,0,6,54,0,3,7,2,0,0,4,1,0,3,0,0,0,0,2
Herpes HPV and other STDs Photos,3,0,0,0,8,0,4,2,54,0,2,1,0,0,4,1,0,16,0,0,0,0,9
Light Diseases and Disorders of Pigmentation,12,2,5,0,0,0,13,10,1,60,15,47,0,2,0,0,0,13,0,0,0,0,2
Lupus and other Connective Tissue diseases,14,2,10,0,4,0,16,2,4,3,36,8,0,10,2,2,1,25,0,1,2,2,3
Melanoma Skin Cancer Nevi and Moles,7,13,3,0,5,0,3,3,2,8,13,149,0,1,0,0,13,27,1,0,2,0,3
Nail Fungus and other Nail Disease,0,0,0,0,0,0,8,9,0,0,2,1,0,1,4,0,0,1,0,0,0,0,1
Poison Ivy Photos and other Contact Dermatitis,2,0,12,0,4,2,12,3,1,2,8,2,0,19,4,5,0,4,2,0,1,0,1
Psoriasis pictures Lichen Planus and related diseases,7,4,67,1,11,2,46,43,13,2,33,2,2,18,124,11,0,35,6,0,3,0,16
Scabies Lyme Disease and other Infestations and Bites,5,0,4,1,17,0,12,0,1,2,3,3,0,6,2,29,0,8,0,0,2,0,5
Seborrheic Keratoses and other Benign Tumors,6,13,3,0,6,0,3,4,0,0,17,74,1,0,0,0,54,20,0,0,3,1,5
Systemic Disease,26,5,8,2,19,0,30,8,13,6,37,21,1,8,7,8,1,83,2,3,5,1,8
Tinea Ringworm Candidiasis and other Fungal Infections,9,3,16,0,16,1,18,11,2,6,9,3,0,7,14,4,0,26,31,1,0,0,4
Urticaria Hives,0,0,1,0,1,0,29,0,0,0,3,2,0,4,0,2,0,5,0,10,0,0,2
Vascular Tumors,2,0,5,2,6,0,3,2,1,1,4,10,0,2,0,1,0,9,0,0,45,1,3
Vasculitis Photos,0,0,6,0,3,2,22,1,1,0,13,0,0,3,0,3,0,5,4,0,1,10,4
Warts Molluscum and other Viral Infections,32,2,26,0,37,2,89,6,40,7,25,17,0,15,22,20,1,51,2,0,4,3,129
